Model,Test_RMSE,Test_MAE,Test_R2,Test_MAPE,CV_Score,Training_Time
Random Forest,2.2549409302771997,1.1443692684816678,0.6611932667772716,1.6563844836990353,6.285066511160391,255.80987787246704
Gradient Boosting,1.9565143721985505,0.6935602535244266,0.7449368151677718,0.9784274472566703,4.946236578949103,1102.0479700565338
Support Vector Machine,1.871657826644633,0.4171229457762828,0.7665818608209474,0.563557834580266,4.629116099475547,113.0044493675232
